"user_id","movie_id","movie_title","confidence_score"
"0","275","Sense and Sensibility (1995)",93.3
"0","477","Matilda (1996)",96.3
"0","899","Winter Guest, The (1997)",93.4
"0","657","Manchurian Candidate, The (1962)",98.4
"0","919","City of Lost Children, The (1995)",95
"1","1016","Con Air (1997)",80.5
"1","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",84.9
"1","434","Forbidden Planet (1956)",84.5
"1","524","Great Dictator, The (1940)",81.4
"1","549","Rob Roy (1995)",95.4
"2","101","Heavy Metal (1981)",91.3
"2","109","Mystery Science Theater 3000: The Movie (1996)",82.9
"2","390","Fear of a Black Hat (1993)",90.5
"2","396","Serial Mom (1994)",89.2
"2","401","Brady Bunch Movie, The (1995)",95.6
"3","604","It Happened One Night (1934)",88.9
"3","465","Jungle Book, The (1994)",81.3
"3","615","39 Steps, The (1935)",80.9
"3","1125","Innocents, The (1961)",84.5
"3","1126","Old Man and the Sea, The (1958)",96
"4","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",84
"4","276","Leaving Las Vegas (1995)",95.9
"4","591","Primal Fear (1996)",92.7
"4","990","Anna Karenina (1997)",83.2
"4","114","Wallace & Gromit: The Best of Aardman Animation (1996)",89.7
"5","889","Tango Lesson, The (1997)",95.7
"5","155","Dirty Dancing (1987)",98.3
"5","778","Don Juan DeMarco (1995)",98.1
"5","781","French Kiss (1995)",83.2
"5","699","Little Women (1994)",92.9
"6","699","Little Women (1994)",86.3
"6","329","Desperate Measures (1998)",84.3
"6","990","Anna Karenina (1997)",85.9
"6","1160","Love! Valour! Compassion! (1997)",94.7
"6","477","Matilda (1996)",87
"7","408","Close Shave, A (1995)",93.7
"7","6","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",92.9
"7","19","Antonia's Line (1995)",98.4
"7","126","Spitfire Grill, The (1996)",82.9
"7","137","Big Night (1996)",85.3
"8","199","Bridge on the River Kwai, The (1957)",85.7
"8","423","E.T. the Extra-Terrestrial (1982)",90.6
"8","1033","Homeward Bound II: Lost in San Francisco (1996)",86
"8","13","Mighty Aphrodite (1995)",91.4
"8","190","Henry V (1989)",88.2
"9","408","Close Shave, A (1995)",88.6
"9","287","Marvin's Room (1996)",84.5
"9","761","Nick of Time (1995)",94.5
"9","1177","Dunston Checks In (1996)",83.4
"9","902","Big Lebowski, The (1998)",84.8
"10","408","Close Shave, A (1995)",94.9
"10","116","Cold Comfort Farm (1995)",93.6
"10","1006","Until the End of the World (Bis ans Ende der Welt) (1991)",89.3
"10","89","Blade Runner (1982)",95.1
"10","273","Heat (1995)",84.1
"11","923","Raise the Red Lantern (1991)",89.6
"11","877","Excess Baggage (1997)",92.4
"11","56","Pulp Fiction (1994)",83.1
"11","190","Henry V (1989)",95.5
"11","410","Kingpin (1996)",80.1
"12","660","Fried Green Tomatoes (1991)",90.5
"12","408","Close Shave, A (1995)",80.4
"12","380","Star Trek: Generations (1994)",98.9
"12","1005","Double vie de Véronique, La (Double Life of Veronique, The) (1991)",89.6
"12","156","Reservoir Dogs (1992)",92.8
"13","589","Wild Bunch, The (1969)",89.9
"13","896","Sweet Hereafter, The (1997)",91.7
"13","69","Forrest Gump (1994)",93.1
"13","161","Top Gun (1986)",85
"13","59","Three Colors: Red (1994)",82.7
"14","287","Marvin's Room (1996)",94
"14","408","Close Shave, A (1995)",94.8
"14","1028","Grumpier Old Men (1995)",80.8
"14","1033","Homeward Bound II: Lost in San Francisco (1996)",94.4
"14","750","Amistad (1997)",82.2
"15","896","Sweet Hereafter, The (1997)",88.8
"15","354","Wedding Singer, The (1998)",90.9
"15","229","Star Trek III: The Search for Spock (1984)",88.1
"15","380","Star Trek: Generations (1994)",94
"15","538","Anastasia (1997)",97.9
"16","899","Winter Guest, The (1997)",91.8
"16","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",95.9
"16","549","Rob Roy (1995)",94.7
"16","515","Boot, Das (1981)",91.9
"16","518","Miller's Crossing (1990)",89.7
"17","899","Winter Guest, The (1997)",92.1
"17","1394","Swept from the Sea (1997)",81.2
"17","902","Big Lebowski, The (1998)",93.8
"17","896","Sweet Hereafter, The (1997)",90.4
"17","345","Deconstructing Harry (1997)",98.2
"18","496","It's a Wonderful Life (1946)",96.2
"18","82","Jurassic Park (1993)",94.6
"18","94","Home Alone (1990)",85.8
"18","102","Aristocats, The (1970)",88.3
"18","140","Homeward Bound: The Incredible Journey (1993)",80.7
"19","228","Star Trek: The Wrath of Khan (1982)",84.3
"19","1394","Swept from the Sea (1997)",84.3
"19","889","Tango Lesson, The (1997)",87.9
"19","1062","Four Days in September (1997)",81.8
"19","227","Star Trek VI: The Undiscovered Country (1991)",91.2
"20","1006","Until the End of the World (Bis ans Ende der Welt) (1991)",97.2
"20","955","Before Sunrise (1995)",93
"20","284","Tin Cup (1996)",92.4
"20","1405","Boy's Life 2 (1997)",94.1
"20","517","Manhattan (1979)",95.5
"21","889","Tango Lesson, The (1997)",82.8
"21","914","Wild Things (1998)",98.3
"21","916","Lost in Space (1998)",94.4
"21","1025","Fire Down Below (1997)",80.4
"21","22","Braveheart (1995)",88.1
"22","902","Big Lebowski, The (1998)",85.5
"22","889","Tango Lesson, The (1997)",93.1
"22","899","Winter Guest, The (1997)",80.7
"22","1025","Fire Down Below (1997)",85.7
"22","1024","Mrs. Dalloway (1997)",81.3
"23","969","Winnie the Pooh and the Blustery Day (1968)",89.7
"23","408","Close Shave, A (1995)",87
"23","45","Eat Drink Man Woman (1994)",83
"23","170","Cinema Paradiso (1988)",86.8
"23","207","Cyrano de Bergerac (1990)",91.6
"24","923","Raise the Red Lantern (1991)",92.3
"24","305","Ice Storm, The (1997)",99
"24","337","House of Yes, The (1997)",83
"24","353","Deep Rising (1998)",91.9
"24","884","Year of the Horse (1997)",90.1
"25","571","Another Stakeout (1993)",82.6
"25","1063","Little Princess, A (1995)",82.8
"25","85","Ref, The (1994)",81
"25","347","Wag the Dog (1997)",82
"25","397","Striking Distance (1993)",81.8
"26","8","Babe (1995)",96.8
"26","137","Big Night (1996)",86.8
"26","241","Last of the Mohicans, The (1992)",98.2
"26","465","Jungle Book, The (1994)",81.9
"26","1125","Innocents, The (1961)",82.8
"27","899","Winter Guest, The (1997)",82.9
"27","1015","Shiloh (1997)",81.2
"27","183","Alien (1979)",92.5
"27","1028","Grumpier Old Men (1995)",92.3
"27","1033","Homeward Bound II: Lost in San Francisco (1996)",83.4
"28","26","Brothers McMullen, The (1995)",93.8
"28","42","Clerks (1994)",96.2
"28","122","Cable Guy, The (1996)",86.5
"28","762","Beautiful Girls (1996)",85.6
"28","1012","Private Parts (1997)",83.1
"29","589","Wild Bunch, The (1969)",86.3
"29","1016","Con Air (1997)",87
"29","875","She's So Lovely (1997)",88.7
"29","955","Before Sunrise (1995)",95.8
"29","1015","Shiloh (1997)",92.6
"30","109","Mystery Science Theater 3000: The Movie (1996)",92.3
"30","68","Crow, The (1994)",86.8
"30","81","Hudsucker Proxy, The (1994)",85
"30","178","12 Angry Men (1957)",96.6
"30","219","Nightmare on Elm Street, A (1984)",89.6
"31","23","Taxi Driver (1976)",87.6
"31","66","While You Were Sleeping (1995)",82.3
"31","67","Ace Ventura: Pet Detective (1994)",81.7
"31","94","Home Alone (1990)",97.7
"31","99","Snow White and the Seven Dwarfs (1937)",89.4
"32","1033","Homeward Bound II: Lost in San Francisco (1996)",86.4
"32","1405","Boy's Life 2 (1997)",88
"32","253","Pillow Book, The (1995)",82.3
"32","1008","I Shot Andy Warhol (1996)",93.1
"32","1084","Anne Frank Remembered (1995)",85.6
"33","390","Fear of a Black Hat (1993)",98.7
"33","396","Serial Mom (1994)",85.6
"33","401","Brady Bunch Movie, The (1995)",90
"33","979","Trigger Effect, The (1996)",93.2
"33","85","Ref, The (1994)",87.8
"34","376","Houseguest (1994)",89.5
"34","392","Man Without a Face, The (1993)",95.8
"34","452","Jaws 2 (1978)",98.4
"34","571","Another Stakeout (1993)",94.2
"34","575","City Slickers II: The Legend of Curly's Gold (1994)",80.4
"35","467","Bronx Tale, A (1993)",96.3
"35","661","High Noon (1952)",85.9
"35","812","Andre (1994)",98.9
"35","1017","Trees Lounge (1996)",98.9
"35","192","Raging Bull (1980)",93.1
"36","914","Wild Things (1998)",85.9
"36","916","Lost in Space (1998)",94.9
"36","304","Fly Away Home (1996)",94.8
"36","898","Postman, The (1997)",86.3
"36","237","Jerry Maguire (1996)",94.8
"37","914","Wild Things (1998)",98.1
"37","812","Andre (1994)",86.3
"37","344","Apostle, The (1997)",88.6
"37","1025","Fire Down Below (1997)",80.1
"37","315","Apt Pupil (1998)",81.2
"38","1104","C'est arrivé près de chez vous (1992)",98.4
"38","1006","Until the End of the World (Bis ans Ende der Welt) (1991)",95.3
"38","1159","Stalker (1979)",86.7
"38","1524","Kaspar Hauser (1993)",81.3
"38","102","Aristocats, The (1970)",81.5
"39","101","Heavy Metal (1981)",94.7
"39","163","Return of the Pink Panther, The (1974)",97.2
"39","189","Grand Day Out, A (1992)",97.7
"39","390","Fear of a Black Hat (1993)",98.7
"39","430","Duck Soup (1933)",91.2
"40","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",92.5
"40","1016","Con Air (1997)",83.7
"40","832","Bogus (1996)",85.3
"40","1059","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",80
"40","346","Jackie Brown (1997)",84.1
"41","923","Raise the Red Lantern (1991)",80.9
"41","22","Braveheart (1995)",93
"41","313","Titanic (1997)",91.9
"41","335","How to Be a Player (1997)",98
"41","1022","Fast, Cheap & Out of Control (1997)",96.8
"42","150","Swingers (1996)",82.2
"42","914","Wild Things (1998)",90.5
"42","916","Lost in Space (1998)",96.4
"42","329","Desperate Measures (1998)",90.8
"42","749","MatchMaker, The (1997)",90.2
"43","955","Before Sunrise (1995)",90.9
"43","361","Incognito (1997)",97
"43","20","Angels and Insects (1995)",91.8
"43","276","Leaving Las Vegas (1995)",83.8
"43","284","Tin Cup (1996)",83.7
"44","316","As Good As It Gets (1997)",88.9
"44","889","Tango Lesson, The (1997)",91.3
"44","1175","Hugo Pool (1997)",83.3
"44","8","Babe (1995)",84.7
"44","1176","Welcome To Sarajevo (1997)",92
"45","87","Searching for Bobby Fischer (1993)",97.6
"45","148","Ghost and the Darkness, The (1996)",92.3
"45","515","Boot, Das (1981)",87.8
"45","89","Blade Runner (1982)",89.5
"45","855","Diva (1981)",87.7
"46","272","Good Will Hunting (1997)",81.5
"46","316","As Good As It Gets (1997)",97.1
"46","1033","Homeward Bound II: Lost in San Francisco (1996)",92
"46","1125","Innocents, The (1961)",87.7
"46","1306","Delta of Venus (1994)",94.5
"47","898","Postman, The (1997)",96.3
"47","47","Ed Wood (1994)",87.1
"47","134","Citizen Kane (1941)",96.1
"47","135","2001: A Space Odyssey (1968)",86.3
"47","143","Sound of Music, The (1965)",84.3
"48","64","Shawshank Redemption, The (1994)",88.6
"48","79","Fugitive, The (1993)",80
"48","902","Big Lebowski, The (1998)",92.1
"48","889","Tango Lesson, The (1997)",91
"48","20","Angels and Insects (1995)",82
"49","12","Usual Suspects, The (1995)",80.8
"49","38","Net, The (1995)",81
"49","47","Ed Wood (1994)",96.3
"49","67","Ace Ventura: Pet Detective (1994)",86.9
"49","73","Maverick (1994)",81.6
"50","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",82.3
"50","22","Braveheart (1995)",96.5
"50","95","Aladdin (1992)",89.8
"50","155","Dirty Dancing (1987)",85.9
"50","969","Winnie the Pooh and the Blustery Day (1968)",86.4
"51","155","Dirty Dancing (1987)",81.7
"51","402","Ghost (1990)",93.9
"51","778","Don Juan DeMarco (1995)",89.4
"51","781","French Kiss (1995)",89.4
"51","199","Bridge on the River Kwai, The (1957)",91.9
"52","604","It Happened One Night (1934)",86.9
"52","914","Wild Things (1998)",88.3
"52","916","Lost in Space (1998)",88.5
"52","889","Tango Lesson, The (1997)",95.4
"52","1175","Hugo Pool (1997)",93.4
"53","270","Gattaca (1997)",88
"53","410","Kingpin (1996)",95
"53","448","Omen, The (1976)",95.5
"53","567","Wes Craven's New Nightmare (1994)",84.4
"53","670","Body Snatchers (1993)",80.6
"54","906","Oscar & Lucinda (1997)",87.9
"54","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",86.1
"54","1127","Truman Show, The (1998)",93.4
"54","150","Swingers (1996)",99
"54","813","Celluloid Closet, The (1995)",84.1
"55","914","Wild Things (1998)",94.9
"55","916","Lost in Space (1998)",96.4
"55","1048","She's the One (1996)",95
"55","705","Singin' in the Rain (1952)",91.8
"55","100","Fargo (1996)",94.3
"56","899","Winter Guest, The (1997)",88.7
"56","567","Wes Craven's New Nightmare (1994)",88.2
"56","670","Body Snatchers (1993)",93.5
"56","309","Deceiver (1997)",93.1
"56","96","Terminator 2: Judgment Day (1991)",86
"57","990","Anna Karenina (1997)",81.5
"57","303","Ulee's Gold (1997)",83.7
"57","227","Star Trek VI: The Undiscovered Country (1991)",92
"57","229","Star Trek III: The Search for Spock (1984)",94.5
"57","230","Star Trek IV: The Voyage Home (1986)",95.9
"58","889","Tango Lesson, The (1997)",89.8
"58","896","Sweet Hereafter, The (1997)",96.2
"58","463","Secret of Roan Inish, The (1994)",91
"58","509","My Left Foot (1989)",88.3
"58","531","Shine (1996)",85.7
"59","1394","Swept from the Sea (1997)",80.6
"59","1048","She's the One (1996)",91.1
"59","899","Winter Guest, The (1997)",86.1
"59","352","Spice World (1997)",90.2
"59","347","Wag the Dog (1997)",91.3
"60","101","Heavy Metal (1981)",90.5
"60","163","Return of the Pink Panther, The (1974)",80.4
"60","390","Fear of a Black Hat (1993)",95.9
"60","401","Brady Bunch Movie, The (1995)",97.7
"60","253","Pillow Book, The (1995)",81.2
"61","408","Close Shave, A (1995)",97.7
"61","515","Boot, Das (1981)",84
"61","902","Big Lebowski, The (1998)",89.9
"61","242","Kolya (1996)",83.7
"61","198","Nikita (La Femme Nikita) (1990)",95.8
"62","155","Dirty Dancing (1987)",91.4
"62","778","Don Juan DeMarco (1995)",81.5
"62","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",88.2
"62","1639","Bitter Sugar (Azucar Amargo) (1996)",96.4
"62","91","Nightmare Before Christmas, The (1993)",90.8
"63","781","French Kiss (1995)",93.4
"63","832","Bogus (1996)",86.1
"63","833","Bulletproof (1996)",98.9
"63","1059","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",82.5
"63","178","12 Angry Men (1957)",81.6
"64","906","Oscar & Lucinda (1997)",83.5
"64","257","Men in Black (1997)",93.3
"64","781","French Kiss (1995)",81.9
"64","1048","She's the One (1996)",85.5
"64","45","Eat Drink Man Woman (1994)",98.1
"65","177","Good, The Bad and The Ugly, The (1966)",85.2
"65","265","Hunt for Red October, The (1990)",84.3
"65","89","Blade Runner (1982)",85.3
"65","381","Muriel's Wedding (1994)",92.2
"65","707","Enchanted April (1991)",82.4
"66","297","Ulee's Gold (1997)",91
"66","1296","Indian Summer (1996)",86
"66","316","As Good As It Gets (1997)",87.8
"66","144","Die Hard (1988)",80.3
"66","629","Victor/Victoria (1982)",89.2
"67","188","Full Metal Jacket (1987)",93.1
"67","520","Great Escape, The (1963)",87.4
"67","863","Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",90.8
"67","517","Manhattan (1979)",98.9
"67","629","Victor/Victoria (1982)",87.7
"68","155","Dirty Dancing (1987)",80.3
"68","813","Celluloid Closet, The (1995)",98.3
"68","192","Raging Bull (1980)",93.3
"68","474","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",81
"68","524","Great Dictator, The (1940)",82.6
"69","955","Before Sunrise (1995)",87.9
"69","127","Godfather, The (1972)",93.1
"69","251","Shall We Dance? (1996)",83.1
"69","813","Celluloid Closet, The (1995)",81.8
"69","475","Trainspotting (1996)",95.5
"70","155","Dirty Dancing (1987)",84.9
"70","402","Ghost (1990)",88.8
"70","778","Don Juan DeMarco (1995)",90.2
"70","781","French Kiss (1995)",86.1
"70","275","Sense and Sensibility (1995)",94.1
"71","914","Wild Things (1998)",85.7
"71","916","Lost in Space (1998)",98.7
"71","1293","Star Kid (1997)",88.7
"71","11","Seven (Se7en) (1995)",98.2
"71","433","Heathers (1989)",86.3
"72","781","French Kiss (1995)",83.9
"72","1006","Until the End of the World (Bis ans Ende der Welt) (1991)",93.3
"72","955","Before Sunrise (1995)",89.2
"72","155","Dirty Dancing (1987)",92.1
"72","402","Ghost (1990)",86.8
"73","382","Adventures of Priscilla, Queen of the Desert, The (1994)",98.8
"73","390","Fear of a Black Hat (1993)",83.1
"73","833","Bulletproof (1996)",94.4
"73","1059","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",95.1
"73","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",89.4
"74","435","Butch Cassidy and the Sundance Kid (1969)",99
"74","902","Big Lebowski, The (1998)",97.4
"74","221","Breaking the Waves (1996)",81.2
"74","1006","Until the End of the World (Bis ans Ende der Welt) (1991)",86.2
"74","1159","Stalker (1979)",96.9
"75","1388","Gabbeh (1996)",85.5
"75","155","Dirty Dancing (1987)",91.5
"75","778","Don Juan DeMarco (1995)",82.9
"75","94","Home Alone (1990)",90.2
"75","422","Aladdin and the King of Thieves (1996)",83.7
"76","237","Jerry Maguire (1996)",94.3
"76","1160","Love! Valour! Compassion! (1997)",85.2
"76","923","Raise the Red Lantern (1991)",91
"76","691","Dark City (1998)",97.5
"76","914","Wild Things (1998)",88.7
"77","376","Houseguest (1994)",82.3
"77","420","Alice in Wonderland (1951)",96.3
"77","571","Another Stakeout (1993)",94
"77","781","French Kiss (1995)",96.9
"77","794","It Could Happen to You (1994)",89.4
"78","253","Pillow Book, The (1995)",86.1
"78","1388","Gabbeh (1996)",87
"78","778","Don Juan DeMarco (1995)",86.9
"78","567","Wes Craven's New Nightmare (1994)",91.9
"78","199","Bridge on the River Kwai, The (1957)",85.5
"79","225","101 Dalmatians (1996)",85.8
"79","282","Time to Kill, A (1996)",90.7
"79","1012","Private Parts (1997)",98.3
"79","1016","Con Air (1997)",87.6
"79","1197","Family Thing, A (1996)",90.9
"80","12","Usual Suspects, The (1995)",86.4
"80","309","Deceiver (1997)",80.5
"80","83","Much Ado About Nothing (1993)",81.2
"80","144","Die Hard (1988)",94.1
"80","173","Princess Bride, The (1987)",90.4
"81","923","Raise the Red Lantern (1991)",82.9
"81","12","Usual Suspects, The (1995)",81.8
"81","59","Three Colors: Red (1994)",85.2
"81","60","Three Colors: Blue (1993)",88.3
"81","137","Big Night (1996)",92.2
"82","899","Winter Guest, The (1997)",98.8
"82","59","Three Colors: Red (1994)",88
"82","61","Three Colors: White (1994)",97.3
"82","958","To Live (Huozhe) (1994)",88.6
"82","960","Naked (1993)",80.5
"83","116","Cold Comfort Farm (1995)",88.9
"83","914","Wild Things (1998)",90.6
"83","916","Lost in Space (1998)",89.5
"83","475","Trainspotting (1996)",95.6
"83","183","Alien (1979)",82.1
"84","781","French Kiss (1995)",95.9
"84","253","Pillow Book, The (1995)",91.5
"84","1388","Gabbeh (1996)",88.1
"84","137","Big Night (1996)",87.1
"84","200","Shining, The (1980)",88.3
"85","272","Good Will Hunting (1997)",92
"85","316","As Good As It Gets (1997)",89.8
"85","1125","Innocents, The (1961)",92.5
"85","1306","Delta of Venus (1994)",83.5
"85","315","Apt Pupil (1998)",83.8
"86","895","Scream 2 (1997)",89
"86","344","Apostle, The (1997)",87.1
"86","896","Sweet Hereafter, The (1997)",85.3
"86","923","Raise the Red Lantern (1991)",83.6
"86","1048","She's the One (1996)",88
"87","410","Kingpin (1996)",88.6
"87","436","American Werewolf in London, An (1981)",98.6
"87","968","Inspector General, The (1949)",92.1
"87","307","Devil's Advocate, The (1997)",90.4
"87","346","Jackie Brown (1997)",92.9
"88","923","Raise the Red Lantern (1991)",96.2
"88","228","Star Trek: The Wrath of Khan (1982)",96
"88","896","Sweet Hereafter, The (1997)",92.5
"88","227","Star Trek VI: The Undiscovered Country (1991)",96.1
"88","229","Star Trek III: The Search for Spock (1984)",96.5
"89","253","Pillow Book, The (1995)",93.9
"89","1388","Gabbeh (1996)",87.6
"89","111","Truth About Cats & Dogs, The (1996)",92.5
"89","262","In the Company of Men (1997)",91.3
"89","477","Matilda (1996)",84.9
"90","178","12 Angry Men (1957)",94.1
"90","173","Princess Bride, The (1987)",90.7
"90","875","She's So Lovely (1997)",83.2
"90","955","Before Sunrise (1995)",95.5
"90","408","Close Shave, A (1995)",83.3
"91","923","Raise the Red Lantern (1991)",84.1
"91","344","Apostle, The (1997)",84.1
"91","309","Deceiver (1997)",95.9
"91","59","Three Colors: Red (1994)",88.4
"91","60","Three Colors: Blue (1993)",82.1
"92","1006","Until the End of the World (Bis ans Ende der Welt) (1991)",93.8
"92","17","From Dusk Till Dawn (1996)",87.5
"92","882","Washington Square (1997)",84
"92","899","Winter Guest, The (1997)",82
"92","902","Big Lebowski, The (1998)",91.6
"93","1006","Until the End of the World (Bis ans Ende der Welt) (1991)",97
"93","1388","Gabbeh (1996)",89.2
"93","303","Ulee's Gold (1997)",91.4
"93","952","Blue in the Face (1995)",89.5
"93","1134","Get on the Bus (1996)",85.8
"94","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",97
"94","1025","Fire Down Below (1997)",88.5
"94","318","Schindler's List (1993)",91.4
"94","11","Seven (Se7en) (1995)",81.5
"94","100","Fargo (1996)",94.2
"95","320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",90.5
"95","10","Richard III (1995)",82.8
"95","262","In the Company of Men (1997)",82.3
"95","1062","Four Days in September (1997)",94.7
"95","228","Star Trek: The Wrath of Khan (1982)",95.4
"96","781","French Kiss (1995)",83.3
"96","59","Three Colors: Red (1994)",82.4
"96","61","Three Colors: White (1994)",89.6
"96","512","Wings of Desire (1987)",90.1
"96","652","Rosencrantz and Guildenstern Are Dead (1990)",80.7
"97","604","It Happened One Night (1934)",97
"97","178","12 Angry Men (1957)",97.1
"97","914","Wild Things (1998)",89.6
"97","916","Lost in Space (1998)",93.8
"97","1405","Boy's Life 2 (1997)",90.7
"98","73","Maverick (1994)",85.3
"98","94","Home Alone (1990)",96.6
"98","208","Young Frankenstein (1974)",89.1
